Datawrappergemeente,Gemiddeldinkomenperinwoner,Gemeente
Welkenraedt,18024,Welkenraedt
Trois-Ponts,16991,Trois-Ponts
Burg-Reuland,17315,Burg-Reuland
Plombières,16957,Plombières
Thimister-Clermont,19174,Thimister-Clermont
Berloz,19704,Berloz
Braives,19599,Braives
Crisnée,20639,Crisnée
Donceel,21062,Donceel
Fexhe-le-Haut-Clocher,20125,Fexhe-le-Haut-Clocher
Geer,20034,Geer
Hannut,19495,Hannuit
Lincent,19664,Lijsem
Oreye,19466,Oerle
Remicourt,20218,Remicourt
Saint-Georges-sur-Meuse,17759,Saint-Georges-sur-Meuse
Waremme,19165,Borgworm
Wasseiges,18385,Wasseiges
Faimes,21126,Faimes
As,18712,As
Beringen,17266,Beringen
Diepenbeek,19541,Diepenbeek
Genk,16414,Genk
Gingelom,19873,Gingelom
Halen,19489,Halen
Hasselt,20720,Hasselt
Herk-de-Stad,20034,Herk-de-Stad
Leopoldsburg,17690,Leopoldsburg
Lummen,20118,Lummen
Nieuwerkerken,18822,Nieuwerkerken
Opglabbeek,18340,Opglabbeek
Sint-Truiden,19101,Sint-Truiden
Tessenderlo,19901,Tessenderlo
Zonhoven,19467,Zonhoven
Zutendaal,19807,Zutendaal
Ham,18855,Ham
Heusden-Zolder,17505,Heusden-Zolder
Bocholt,17346,Bocholt
Bree,18073,Bree
Kinrooi,17174,Kinrooi
Lommel,18048,Lommel
Maaseik,17982,Maaseik
Neerpelt,18509,Neerpelt
Overpelt,18276,Overpelt
Peer,18183,Peer
Hamont-Achel,17066,Hamont-Achel
Hechtel-Eksel,18096,Hechtel-Eksel
Houthalen-Helchteren,16697,Houthalen-Helchteren
Meeuwen-Gruitrode,17997,Meeuwen-Gruitrode
Dilsen-Stokkem,17036,Dilsen-Stokkem
Alken,20144,Alken
Bilzen,18431,Bilzen
Borgloon,18807,Borgloon
Heers,18173,Heers
Herstappe,19369,Herstappe
Hoeselt,18670,Hoeselt
Kortessem,19802,Kortessem
Lanaken,18702,Lanaken
Riemst,18120,Riemst
Tongeren,18587,Tongeren
Wellen,19346,Wellen
Maasmechelen,15594,Maasmechelen
Voeren,18166,Voeren
Arlon,21539,Arlon
Attert,23896,Attert
Aubange,16715,Aubange
Martelange,17721,Martelange
Messancy,21985,Messancy
Bastogne,17009,Bastenaken
Bertogne,16964,Bertogne
Fauvillers,17991,Fauvillers
Houffalize,17084,Houffalize
Vielsalm,16243,Vielsalm
Vaux-sur-Sûre,16865,Vaux-sur-Sûre
Gouvy,15771,Gouvy
Sainte-Ode,15894,Sainte-Ode
Durbuy,16440,Durbuy
Érezée,17061,Erezée
Hotton,16048,Hotton
La Roche-en-Ardenne,16294,La Roche-en-Ardenne
Marche-en-Famenne,16790,Marche-en-Famenne
Nassogne,17031,Nassogne
Rendeux,16571,Rendeux
Tenneville,17719,Tenneville
Manhay,17840,Manhay
Bertrix,16030,Bertrix
Bouillon,16128,Bouillon
